Date,Tournament,Surface,Round,Roger's Ranking,Opponent's Ranking,Score,Total Points,Aces,Double Faults,Service Points,First Serve Points,Second Serve Points,Opponent Aces,Time,Abandon,W/O,RF Win,Adversaire,Decompte ATP,Year,Month,Nber of Sets
2021-06-28,Wimbledon,Grass,QF,8,18,6-3 7-6(4) 6-0,181,5,3,93,60,33,10,109,0,0,0,Hubert Hurkacz,Hubert Hurkacz,2021,6,3
2021-06-28,Wimbledon,Grass,R16,8,27,7-5 6-4 6-2,186,4,1,78,47,31,4,131,0,0,1,Lorenzo Sonego,Federer,2021,6,3
2021-06-28,Wimbledon,Grass,R32,8,34,6-4 6-4 5-7 6-4,246,7,0,114,76,38,12,155,0,0,1,Cameron Norrie,Federer,2021,6,4
2021-06-28,Wimbledon,Grass,R64,8,56,7-6(1) 6-1 6-4,191,10,0,95,62,33,3,111,0,0,1,Richard Gasquet,Federer,2021,6,3
2021-06-28,Wimbledon,Grass,R128,8,41,6-4 6-7(3) 3-6 6-2 0-0 RET,242,16,3,112,68,44,5,164,1,0,1,Adrian Mannarino,Federer,2021,6,6
2021-06-14,Halle,Grass,R16,8,21,4-6 6-3 6-2,160,5,1,91,61,30,13,104,0,0,0,Felix Auger Aliassime,Felix Auger Aliassime,2021,6,3
2021-06-14,Halle,Grass,R32,8,90,7-6(4) 7-5,146,4,1,76,57,19,8,94,0,0,1,Ilya Ivashka,Federer,2021,6,2
2021-05-31,Roland Garros,Clay,R16,8,9,W/O,,,,,,,,,0,1,0,Matteo Berrettini,,2021,5,1
2021-05-31,Roland Garros,Clay,R32,8,59,7-6(5) 6-7(3) 7-6(4) 7-5,319,6,1,158,101,57,11,215,0,0,1,Dominik Koepfer,Federer,2021,5,4
2021-05-31,Roland Garros,Clay,R64,8,47,6-2 2-6 7-6(4) 6-2,237,16,1,117,80,37,12,155,0,0,1,Marin Cilic,Federer,2021,5,4
2021-05-31,Roland Garros,Clay,R128,8,204,6-2 6-4 6-3,152,8,0,65,46,19,3,93,0,0,1,Denis Istomin,Federer,2021,5,3
2021-05-17,Geneva,Clay,R16,8,75,6-4 4-6 6-4,165,3,0,81,48,33,6,111,0,0,0,Pablo Andujar,Pablo Andujar,2021,5,3
2021-03-08,Doha,Hard,QF,6,42,3-6 6-1 7-5,188,12,0,96,66,30,12,110,0,0,0,Nikoloz Basilashvili,Nikoloz Basilashvili,2021,3,3
2021-03-08,Doha,Hard,R16,6,28,7-6(8) 3-6 7-5,228,13,0,105,71,34,9,144,0,0,1,Daniel Evans,Federer,2021,3,3
2020-01-20,Australian Open,Hard,SF,3,2,7-6(1) 6-4 6-3,206,15,3,104,68,36,11,138,0,0,0,Novak Djokovic,Novak Djokovic,2020,1,3
2020-01-20,Australian Open,Hard,QF,3,100,6-3 2-6 2-6 7-6(8) 6-3,321,5,3,171,112,59,27,211,0,0,1,Tennys Sandgren,Federer,2020,1,5
2020-01-20,Australian Open,Hard,R16,3,67,4-6 6-1 6-2 6-2,192,5,0,103,63,40,1,131,0,0,1,Marton Fucsovics,Federer,2020,1,4
2020-01-20,Australian Open,Hard,R32,3,47,4-6 7-6(2) 6-4 4-6 7-6(8),359,16,6,170,111,59,11,243,0,0,1,John Millman,Federer,2020,1,5
2020-01-20,Australian Open,Hard,R64,3,41,6-1 6-4 6-1,145,14,0,68,47,21,4,92,0,0,1,Filip Krajinovic,Federer,2020,1,3
2020-01-20,Australian Open,Hard,R128,3,75,6-3 6-2 6-2,139,11,1,66,49,17,3,81,0,0,1,Steve Johnson,Federer,2020,1,3
2019-11-11,Tour Finals,Hard,SF,3,6,6-3 6-4,143,3,0,54,30,24,6,96,0,0,0,Stefanos Tsitsipas,Stefanos Tsitsipas,2019,11,2
2019-11-11,Tour Finals,Hard,RR,3,2,6-4 6-3,111,12,2,49,36,13,2,73,0,0,1,Novak Djokovic,Federer,2019,11,2
2019-11-11,Tour Finals,Hard,RR,3,5,7-5 7-5,149,5,0,68,47,21,1,100,0,0,0,Dominic Thiem,Dominic Thiem,2019,11,2
2019-11-11,Tour Finals,Hard,RR,3,8,7-6(2) 6-3,130,8,0,67,45,22,6,78,0,0,1,Matteo Berrettini,Federer,2019,11,2
2019-10-21,Basel,Hard,F,3,28,6-2 6-2,96,4,0,50,32,18,0,68,0,0,1,Alex De Minaur,Federer,2019,10,2
2019-10-21,Basel,Hard,SF,3,7,6-4 6-4,117,6,2,52,30,22,4,78,0,0,1,Stefanos Tsitsipas,Federer,2019,10,2
2019-10-21,Basel,Hard,QF,3,17,W/O,,,,,,,,,0,1,1,Stan Wawrinka,,2019,10,1
